name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T04:00:00,-1.2,-4.7,-1.2,100,0,0,,0,0,4.3,10.2,89,1032.1,98.7,0.1,0,0,0,,Overcast,fog,"E5682,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T05:00:00,-1.2,-4.7,-1.2,100,0,0,,0,0,2.9,10.2,65,1031.9,98.7,0.8,0,0,0,,Overcast,fog,"E5682,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T06:00:00,-1.2,-4.8,-1.2,100,0,0,,0,0,2.5,10.4,70,1031.1,98.7,0.9,0,0,0,,Overcast,fog,"C6175,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T07:00:00,-1.2,-4.7,-1.2,100,0,0,,0,0,5.4,10.2,52,1031.1,98.7,0.9,0,0,0,,Overcast,fog,"C6175,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T08:00:00,-1.2,-5.3,-1.2,100,0,0,,0,0,6.8,12.4,75,1031.1,98.7,1.7,0,0,0,,Overcast,cloudy,"C6175,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T09:00:00,-1.2,-5.6,-1.2,100,0,0,,0,0,7.6,13.7,73,1031.1,98.7,1.7,5,0,0,,Overcast,cloudy,"C6175,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T10:00:00,-1.2,-5.6,-1.2,100,0,0,,0,0,7.6,13.9,72,1031.1,98.7,2.6,26,0.1,0,,Overcast,cloudy,"E5682,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T11:00:00,-1.2,-6.2,-1.2,100,0,0,,0,0,5.8,16.8,90,1030.2,98.7,2.7,52,0.2,1,,Overcast,cloudy,"E5682,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T12:00:00,-1.1,-5.1,-1.1,100,0,0,,0,0,4.3,12,99,1030.1,98.7,3.7,66,0.2,1,,Overcast,cloudy,"E5682,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T13:00:00,-0.3,-3.8,-0.4,99.23,0,0,,0,0,4,10.6,123,1030,98.7,6.8,58,0.2,1,,Overcast,cloudy,"E5682,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T14:00:00,-1,-3.6,-1.2,98.85,0,0,,0,0,6.1,7,167,1029.1,98.7,6.9,75,0.3,1,,Overcast,cloudy,"E5682,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T15:00:00,-0.9,-3.4,-1,99.22,0,0,,0,0,6.1,6.9,190,1029,98.7,5.2,67,0.2,1,,Overcast,cloudy,"E5682,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T16:00:00,-0.9,-0.9,-1,99.22,0,0,,0,0,6.1,4.2,190,1028.9,98.7,6.4,28,0.1,0,,Overcast,cloudy,"E5682,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T17:00:00,-1,-1,-1,100,0,0,,0,0,4.3,3.6,61,1028.9,98.7,6.7,0,0,0,,Overcast,cloudy,"E5682,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T18:00:00,-1,-3.8,-1,99.62,0,0,,0,0,4.7,7.6,179,1028.1,98.7,5.1,0,0,0,,Overcast,cloudy,"E5682,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T19:00:00,-1,-1,-1,100,0,0,,0,0,5.4,3.5,90,1028,98.7,2.7,0,0,0,,Overcast,cloudy,"E5682,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T20:00:00,-1.1,-1.1,-1.1,100,0,0,,0,0,5.8,1.9,81,1027.9,98.1,1.6,0,0,0,,Overcast,cloudy,"E5682,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T21:00:00,-1,-1,-1,100,0,0,,0,0,2.9,3.5,110,1027.1,98.7,1.6,0,0,0,,Overcast,cloudy,"E5682,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T22:00:00,-1,-1,-1,100,0,0,,0,0,4,3.5,120,1027,98.7,2.2,0,0,0,,Overcast,cloudy,"E5682,EBBL,EBLG,EHBK"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-18T23:00:00,-1,-2.9,-1,100,0,0,,0,0,5,5.2,152,1026.1,98.7,3.4,0,0,0,,Overcast,cloudy,"E5682,EBBL,EBLG,EHBK"
